NAME,B01003_001E,B19013_001E,B17001_002E,state,county
"Delaware County, Pennsylvania",561683,65123,57202,42,045
"Wheeler County, Nebraska",847,46394,61,31,183
"Lander County, Nevada",5946,78190,676,32,015
"Schoharie County, New York",31913,51195,3936,36,095
"Fulton County, New York",54606,46969,9100,36,035
"Rensselaer County, New York",159900,60709,19186,36,083
"Franklin County, New York",51280,47923,9213,36,033
"Queens County, New York",2301139,57720,343834,36,081
"Washington County, New York",62700,51143,8004,36,115
"New York County, New York",1629507,72871,283590,36,061
"Cayuga County, New York",79173,52082,9010,36,011
"Rockland County, New York",320688,84855,46118,36,087
"Niagara County, New York",214150,49449,28816,36,063
"Essex County, New York",38912,52758,3894,36,031
"Nassau County, New York",1354612,99465,82146,36,059
"Jefferson County, New York",118947,49505,16938,36,045
"Suffolk County, New York",1501373,88663,103269,36,103
"Wyoming County, New York",41446,52564,4425,36,121
"Oswego County, New York",121183,47860,21615,36,075
"Wayne County, New York",92416,50798,11541,36,117
"Broome County, New York",198093,46261,33615,36,007
"Erie County, New York",921584,51247,134715,36,029
"Sullivan County, New York",76330,50710,12868,36,105
"Orange County, New York",375384,70848,46731,36,071
"Haywood County, North Carolina",59170,42257,10056,37,087
"Forsyth County, North Carolina",361684,45471,69100,37,067
"Bladen County, North Carolina",34720,30096,9342,37,017
"Carteret County, North Carolina",68228,48457,10056,37,031
"Bertie County, North Carolina",20518,30027,4304,37,015
"Martin County, North Carolina",23729,35080,5007,37,117
"Perquimans County, North Carolina",13498,44329,2626,37,143
"Rockingham County, North Carolina",92300,38126,16968,37,157
"Camden County, North Carolina",10161,58780,803,37,029
"Gaston County, North Carolina",209807,42429,36027,37,071
"Moore County, North Carolina",91743,50998,13808,37,125
"Stanly County, North Carolina",60586,40910,10356,37,167
"Yancey County, North Carolina",17604,37484,3775,37,199
"Chatham County, North Carolina",67431,56642,9041,37,037
"Johnston County, North Carolina",178396,50512,27086,37,101
"Person County, North Carolina",39262,42105,7708,37,145
"Ashe County, North Carolina",27114,36267,5510,37,009
"Lenoir County, North Carolina",58782,34717,13401,37,107
"Onslow County, North Carolina",183753,46335,24916,37,133
"Rutherford County, North Carolina",66865,35630,13077,37,161
"Yadkin County, North Carolina",37971,37796,7643,37,197
"Burke County, North Carolina",89548,39360,17277,37,023
"Traill County, North Dakota",8077,54960,804,38,097
"Dickey County, North Dakota",5195,53750,400,38,021
"Ward County, North Dakota",67736,61393,4919,38,101
"Pembina County, North Dakota",7206,53504,454,38,067
"Hettinger County, North Dakota",2621,52169,217,38,041
"Cass County, North Dakota",162500,53289,19082,38,017
"Emmons County, North Dakota",3463,44051,386,38,029
"Richland County, North Dakota",16317,55390,1633,38,077
"Adams County, North Dakota",2341,52118,220,38,001
"Eddy County, North Dakota",2370,48583,311,38,027
"Mercer County, North Dakota",8633,72704,693,38,057
"Ransom County, North Dakota",5453,56500,490,38,073
"Sioux County, North Dakota",4380,38068,1524,38,085
"Golden Valley County, North Dakota",1822,40179,177,38,033
"Schuyler County, New York",18410,47680,2595,36,097
"Chenango County, New York",49549,45668,7741,36,017
"Towner County, North Dakota",2294,56625,316,38,095
"Divide County, North Dakota",2314,56042,178,38,023
"Sargent County, North Dakota",3874,57125,222,38,081
"Meigs County, Ohio",23473,37813,5285,39,105
"Champaign County, Ohio",39393,50974,4756,39,021
"Greene County, Ohio",164192,60113,21065,39,057
"Lawrence County, Ohio",61827,42874,11135,39,087
"Morgan County, Ohio",14913,37067,3111,39,115
"Wyandot County, Ohio",22467,47555,2601,39,175
"Erie County, Ohio",76141,48011,9333,39,043
"Sumner County, Tennessee",169623,57382,15644,47,165
"Shelby County, Tennessee",937750,46224,196471,47,157
"Henderson County, Tennessee",28013,38745,5925,47,077
"Jefferson County, Tennessee",52490,42417,8343,47,089
"Sequatchie County, Tennessee",14592,45408,2335,47,153
"Carroll County, Tennessee",28353,35508,5713,47,017
"Davidson County, Tennessee",658506,48368,116031,47,037
"Perry County, Tennessee",7864,31425,1995,47,135
"Meigs County, Tennessee",11716,34424,2377,47,121
"Haywood County, Tennessee",18248,34182,4107,47,075
"Montgomery County, Tennessee",185980,50344,28750,47,125
"Grundy County, Tennessee",13524,27373,3797,47,061
"Cocke County, Tennessee",35321,31187,9111,47,029
"DeKalb County, Tennessee",19038,38319,3887,47,041
"Lewis County, Tennessee",11944,36621,2292,47,101
"Obion County, Tennessee",31129,40281,6309,47,131
"Tipton County, Tennessee",61674,53669,8292,47,167
"Dyer County, Tennessee",38054,42468,6646,47,045
"Hamilton County, Tennessee",348121,48248,54036,47,065
"Polk County, Tennessee",16687,38925,3094,47,139
"White County, Tennessee",26252,34901,5011,47,185
"Sullivan County, Tennessee",156752,40346,26924,47,163
"Logan County, Ohio",45484,49783,6487,39,091
"Summit County, Ohio",541847,50765,78658,39,153
"Shelby County, Ohio",49067,54550,4970,39,149
"Williams County, Ohio",37386,42492,5386,39,171
"Columbiana County, Ohio",105987,44497,15730,39,029
"Fulton County, Ohio",42485,55120,4532,39,051
"Gallia County, Ohio",30565,37319,6214,39,053
"Mahoning County, Ohio",234550,41375,40841,39,099
"Scioto County, Ohio",78017,35903,18740,39,145
"Morrow County, Ohio",34996,51993,4063,39,117
"Preble County, Ohio",41682,47818,5477,39,135
"Allen County, Ohio",105196,44103,17713,39,003
"Crawford County, Ohio",42725,40795,6888,39,033
"Guernsey County, Ohio",39626,40930,7784,39,059
"Mercer County, Ohio",40863,53099,3399,39,107
"Clark County, Ohio",136827,43625,24419,39,023
"Lorain County, Ohio",303152,52457,42269,39,093
"Trousdale County, Tennessee",7884,41029,1345,47,169
"Clay County, Tennessee",7780,28804,1801,47,027
"Montgomery County, Ohio",533763,43829,96354,39,113
"Warren County, Ohio",219916,74379,11885,39,165
"Ashtabula County, Ohio",99777,40544,19266,39,007
"Kay County, Oklahoma",45587,42134,8137,40,071
"Craig County, Oklahoma",14744,38876,2659,40,035
"Canadian County, Oklahoma",126193,64505,8995,40,017
"Latimer County, Oklahoma",10774,39205,1833,40,077
"Texas County, Oklahoma",21588,50242,2733,40,139
