YEAR,BENE_GEO_LVL,BENE_GEO_DESC,BENE_GEO_CD,BENES_TOTAL_CNT,ER_VISITS_PER_1000_BENES,County,Population,Median_Income,People_In_Poverty
2015,County,TX-Real,48385,1148.0,605.6818,"Real County, Texas",3356,36523.0,541
2015,County,TX-Red River,48387,3488.0,563.0824,"Red River County, Texas",12567,31563.0,2321
2015,County,TX-Reeves,48389,2194.0,777.7778,"Reeves County, Texas",14179,43540.0,1895
2015,County,TX-Refugio,48391,1790.0,897.3561,"Refugio County, Texas",7277,44240.0,1203
2015,County,TX-Roberts,48393,176.0,452.381,"Roberts County, Texas",931,63889.0,14
2015,County,TX-Robertson,48395,3599.0,823.6705,"Robertson County, Texas",16532,46501.0,2841
2015,County,TX-Rockwall,48397,12539.0,633.8269,"Rockwall County, Texas",85536,87524.0,5310
2015,County,TX-Runnels,48399,2554.0,720.5951,"Runnels County, Texas",10445,41526.0,2071
2015,County,TX-Rusk,48401,9628.0,839.5006,"Rusk County, Texas",53457,46173.0,8510
2015,County,TX-Sabine,48403,3488.0,698.9568,"Sabine County, Texas",10440,31307.0,2840
2015,County,TX-San Augustine,48405,2483.0,797.7162,"San Augustine County, Texas",8695,28275.0,2105
2015,County,TX-San Jacinto,48407,5944.0,674.4457,"San Jacinto County, Texas",27023,43029.0,5419
2015,County,TX-San Patricio,48409,12684.0,744.066,"San Patricio County, Texas",66070,52261.0,9949
2015,County,TX-San Saba,48411,1452.0,560.3533,"San Saba County, Texas",5893,39040.0,792
2015,County,TX-Schleicher,48413,576.0,865.7407,"Schleicher County, Texas",3224,55543.0,630
2015,County,TX-Scurry,48415,2941.0,960.7127,"Scurry County, Texas",17238,56842.0,1527
2015,County,TX-Shackelford,48417,706.0,532.491,"Shackelford County, Texas",3352,48750.0,635
2015,County,TX-Shelby,48419,5170.0,820.8677,"Shelby County, Texas",25725,37756.0,5553
2015,County,TX-Sherman,48421,393.0,443.3657,"Sherman County, Texas",3066,51987.0,376
2015,County,TX-Smith,48423,42357.0,657.3389,"Smith County, Texas",217552,46929.0,37048
2015,County,TX-Somervell,48425,1710.0,797.5779,"Somervell County, Texas",8608,51912.0,1158
2015,County,TX-Starr,48427,9286.0,595.1873,"Starr County, Texas",62648,26172.0,22663
2015,County,TX-Stephens,48429,2056.0,834.8505,"Stephens County, Texas",9452,43951.0,1751
2015,County,TX-Sterling,48431,247.0,656.4103,"Sterling County, Texas",1346,53456.0,208
2015,County,TX-Stonewall,48433,374.0,785.4985,"Stonewall County, Texas",1414,42155.0,264
2015,County,TX-Sutton,48435,711.0,703.7037,"Sutton County, Texas",3966,51667.0,328
2015,County,TX-Swisher,48437,1615.0,586.5237,"Swisher County, Texas",7713,37040.0,1595
2015,County,TX-Tarrant,48439,248047.0,760.0273,"Tarrant County, Texas",1914526,58711.0,283264
2015,County,TX-Taylor,48441,23773.0,786.0008,"Taylor County, Texas",134435,45396.0,22395
2015,County,TX-Terrell,48443,254.0,566.6667,"Terrell County, Texas",921,31111.0,186
2015,County,TX-Terry,48445,2179.0,684.435,"Terry County, Texas",12687,37475.0,1756
2015,County,TX-Throckmorton,48447,404.0,736.6864,"Throckmorton County, Texas",1545,41042.0,199
2015,County,TX-Titus,48449,5056.0,766.3842,"Titus County, Texas",32553,44178.0,6848
2015,County,TX-Tom Green,48451,20797.0,774.6274,"Tom Green County, Texas",115056,46711.0,16202
2015,County,TX-Travis,48453,121976.0,683.1844,"Travis County, Texas",1121645,61451.0,180220
2015,County,TX-Trinity,48455,4277.0,693.0894,"Trinity County, Texas",14405,34295.0,2381
2015,County,TX-Tyler,48457,4958.0,820.0801,"Tyler County, Texas",21462,41360.0,3159
2015,County,TX-Upshur,48459,8472.0,742.6206,"Upshur County, Texas",40096,46673.0,5322
2015,County,TX-Upton,48461,586.0,987.9808,"Upton County, Texas",3405,46131.0,657
2015,County,TX-Uvalde,48463,5290.0,851.7883,"Uvalde County, Texas",26952,38568.0,5248
2015,County,TX-Val Verde,48465,8418.0,776.0769,"Val Verde County, Texas",48980,42174.0,9738
2015,County,TX-Van Zandt,48467,12270.0,619.7034,"Van Zandt County, Texas",52736,44002.0,8787
2015,County,TX-Victoria,48469,16794.0,828.2794,"Victoria County, Texas",90099,51758.0,14531
2015,County,TX-Walker,48471,9359.0,639.2768,"Walker County, Texas",69330,37666.0,12642
2015,County,TX-Waller,48473,6048.0,665.7232,"Waller County, Texas",45847,51348.0,7505
2015,County,TX-Ward,48475,1972.0,761.9728,"Ward County, Texas",11225,51345.0,1831
2015,County,TX-Washington,48477,7917.0,745.3532,"Washington County, Texas",34236,51269.0,4325
2015,County,TX-Webb,48479,30566.0,563.6833,"Webb County, Texas",263251,38862.0,82307
2015,County,TX-Wharton,48481,8009.0,762.2095,"Wharton County, Texas",41264,45176.0,7178
2015,County,TX-Wheeler,48483,1118.0,765.8643,"Wheeler County, Texas",5618,52221.0,862
2015,County,TX-Wichita,48485,23706.0,823.2041,"Wichita County, Texas",131957,45543.0,20712
2015,County,TX-Wilbarger,48487,2748.0,958.9744,"Wilbarger County, Texas",13158,41630.0,2275
2015,County,TX-Willacy,48489,3446.0,722.166,"Willacy County, Texas",22002,26495.0,7604
2015,County,TX-Williamson,48491,64368.0,604.3507,"Williamson County, Texas",473592,73750.0,35014
2015,County,TX-Wilson,48493,7795.0,558.1702,"Wilson County, Texas",45509,68100.0,4783
2015,County,TX-Winkler,48495,1125.0,778.3133,"Winkler County, Texas",7576,55756.0,1040
2015,County,TX-Wise,48497,10650.0,705.2212,"Wise County, Texas",61243,56897.0,7015
2015,County,TX-Wood,48499,13470.0,664.4147,"Wood County, Texas",42712,45686.0,6073
2015,County,TX-Yoakum,48501,1208.0,775.9914,"Yoakum County, Texas",8213,56153.0,979
2015,County,TX-Young,48503,4327.0,844.2667,"Young County, Texas",18329,44693.0,2751
2015,County,TX-Zapata,48505,1949.0,506.008,"Zapata County, Texas",14308,32162.0,5334
2015,County,TX-Zavala,48507,2039.0,940.9283,"Zavala County, Texas",12060,26672.0,3943
2015,County,UT-Beaver,49001,1124.0,605.317,"Beaver County, Utah",6461,50282.0,797
2015,County,UT-Box Elder,49003,7750.0,529.703,"Box Elder County, Utah",50991,55038.0,4779
2015,County,UT-Cache,49005,12513.0,583.9316,"Cache County, Utah",117449,50497.0,17713
2015,County,UT-Carbon,49007,4173.0,700.6121,"Carbon County, Utah",20927,46900.0,3113
2015,County,UT-Daggett,49009,230.0,420.0,"Daggett County, Utah",776,56750.0,47
2015,County,UT-Davis,49011,37143.0,485.2948,"Davis County, Utah",323374,71112.0,24718
2015,County,UT-Duchesne,49013,2887.0,687.4346,"Duchesne County, Utah",19817,61133.0,2019
